Paper Title	Author list	Published year	Summary	Category	Predictive Feature for host health
Supplementation with a probiotic mixture accelerates gut microbiome maturation and reduces intestinal inflammation in extremely preterm infants	Jumana Samara, Shirin Moossavi, Belal Alshaikh, Van A. Ortega, Veronika Kucha, Tahsin Ferdous, Suzie L. Hoops, Amuchou Soraisham, Joseph Vayalumkal, Deonne Dersch-Mills, Jeffrey S. Gerber, Sagori Mukhopadhyay, Karen Puopolo, Thomas A. Tompkins, Dan Knights, Jens Walter, Harish Amin, Marie-Claire Arrieta	2022	This study investigates the effects of a multi-strain probiotic mixture on gut microbiome maturation and intestinal inflammation in extremely preterm infants. The randomized controlled trial found that the probiotic administration accelerated the maturation of the microbiome towards a term-like configuration with higher species inter-connectivity and stability while reducing intestinal inflammation. Biﬁdobacterium strains and stool metabolites were major predictors of microbiome maturation.	Research paper	Biﬁdobacterium strains, stool metabolites, infant age
A high-quality genome compendium of the human gut microbiome of Inner Mongolians	Hao Jin, Keyu Quan, Qiuwen He, Lai-Yu Kwok, Teng Ma, Yalin Li, Feiyan Zhao, Lijun You, Heping Zhang, Zhihong Sun	2023	This study characterizes the fecal microbiota of 60 Inner Mongolian individuals through hybrid long-read and short-read sequencing, creating the Inner Mongolian Gut Genome (IMGG) catalogue, which includes 802 closed and 5,927 high-quality metagenome-assembled genomes (MAGs). The research significantly improves the understanding of gut microbial diversity and function, especially for understudied populations, by achieving greater genome continuity and resolving complex genomic regions associated with health benefits, such as metabolic gene clusters and prophages.	Research paper	High-quality gut microbiome profiles, metabolic gene clusters (MGCs) including those associated with short-chain fatty acids (SCFAs) production, and diverse prophage sequences linked to potential health implications.
Variability of strain engraftment and predictability of microbiome composition after fecal microbiota transplantation across different diseases	Gianluca Ianiro, Michal Punčochář, Nicolai Karcher, Serena Porcari, Federica Armanini, Francesco Asnicar, Francesco Beghini, Aitor Blanco-Míguez, Fabio Cumbo, Paolo Manghi, Federica Pinto, Luca Masucci, Gianluca Quaranta, Silvia De Giorgi, Giusi Desirè Sciumè, Stefano Bibbò, Federica Del Chierico, Lorenza Putignani, Maurizio Sanguinetti, Antonio Gasbarrini, Mireia Valles-Colomer, Giovanni Cammarota, Nicola Segata	2022	The study investigates the efficacy of fecal microbiota transplantation (FMT) in treating various microbiome-related disorders through a meta-analysis of 24 studies. It identifies key predictors of successful engraftment of donor microbiota in recipients, highlighting the roles of antibiotic use, route of administration, and the recipient's pre-existing microbiome diversity. Additionally, it employs machine learning models to predict post-FMT microbiome composition, emphasizing the importance of		
Gut bacterial nutrient preferences quantified in vivo	Xianfeng Zeng, Xi Xing, Meera Gupta, Felix C. Keber, Jaime G. Lopez, Ying-Chiang J. Lee, Asael Roichman, Lin Wang, Michael D. Neinast, Mohamed S. Donia, Martin Wu¨hr, Cholsoon Jang, Joshua D. Rabinowitz	2022	This study utilizes isotope tracing to quantitatively examine the nutrient preferences of gut microbiota in mice. The results indicate that dietary fiber and protein are major inputs for carbohydrate fermentation and branched-chain fatty acid production, respectively. Circulating host metabolites such as lactate and urea also contribute to the gut microbiome. The nutrient preferences of various bacterial genera are assessed, revealing that dietary composition influences microbiome dynamics and metabolite production.	Research paper	Nutrient preferences of gut bacteria (dietary fiber, dietary protein, circulating lactate, and urea) and their relationship to microbiome composition changes in response to dietary modifications.
Response, resistance, and recovery of gut bacteria to human-targeted drug exposure	Jacobo de la Cuesta-Zuluaga, Leonardo Boldt, Lisa Maier	2024	This minireview discusses the survival strategies of gut bacteria when exposed to human-targeted drugs, such as antibiotics and non-antibiotics. It highlights how gut commensals adapt to drug-induced stresses and the factors influencing their recovery and community structure post-exposure. The review emphasizes the importance of understanding drug-microbiome interactions in relation to host health, as changes in the gut microbiome due to medication can influence overall well-being.	Review paper	Drug exposure impacts on gut microbiome composition, recovery dynamics, resilience traits, and interspecies interactions influencing microbial community stability.
Personalized microbiome-driven effects of non-nutritive sweeteners on human glucose tolerance	Jotham Suez, Yotam Cohen, Rafael Valdés-Mas, Uria Mor, Mally Dori-Bachash, Sara Federici, Niv Zmora, Avner Leshem, Melina Heinemann, Raquel Linevsky, Maya Zur, Rotem Ben-Zeev Brik, Aurelie Bukimer, Shimrit Eliyahu-Miller, Alona Metz, Ruthy Fischbein, Olga Sharov, Sergey Malitsky, Maxim Itkin, Noa Stettner, Alon Harmelin, Hagit Shapiro, Christoph K. Stein-Thoeringer, Eran Segal, Eran Elinav	2022	This study presents a randomized controlled trial assessing the impact of non-nutritive sweeteners (NNS), such as saccharin and sucralose, on human glucose tolerance and the microbiome. It observes that these NNS can impair glycemic responses in healthy adults and induce person-specific, microbiome-dependent changes in metabolic health. Additionally, it demonstrates a causal link between NNS-altered microbiomes and		
Minimizing treatment-induced emergence of antibiotic resistance in bacterial infections	Mathew Stracy, Roy Kishony	2022	This paper discusses the development of predictive models for the risk of gaining antibiotic resistance in urinary tract infections (UTIs) and wound infections, using a large dataset collected over several years. It investigates factors like patient demographics, prior antibiotic resistance history, and treatment regimens to identify predictors for treatment outcomes, particularly focusing on early recurrence with gained resistance. The findings aim to guide personalized antibiotic therapy to minimize the emergence of resistance during treatment.	Research paper	Patient demographics (age, gender, pregnancy status), previous resistance history, and prior catheter use.
Mechanistic insights into consumption of the food additive xanthan gum by the human gut microbiota	Matthew P. Ostrowski, Sabina Leanti La Rosa, Benoit J. Kunath, Andrew Robertson, Gabriel Pereira, Live H. Hagen, Neha J. Varghese, Ling Qiu, Tianming Yao, Gabrielle Flint, James Li, Sean P. McDonald, Duna Buttner, Nicholas A. Pudlo, Matthew K. Schnizlein, Vincent B. Young, Harry Brumer, Thomas M. Schmidt, Nicolas Terrapon, Vincent Lombard, Bernard Henrissat, Bruce Hamaker, Emiley A. Eloe-Fadrosh, Ashootosh Tripathi, Phillip B. Pope, Eric C. Martens	2022	The study investigates the effects of the food additive xanthan gum on the human gut microbiota, focusing on its degradation by gut bacteria, particularly the uncultured Ruminococcaceae and the Bacteroides intestinalis species. It reveals that xanthan gum can promote specific microbial populations, potentially leading to implications for gut health in industrialized populations where xanthan gum is often consumed.	Research Paper	
The gut–airway microbiome axis in health and respiratory diseases	Mustafa Özçam, Susan V. Lynch	2024	This review article explores the bidirectional communication between the gut and airway microbiomes and their implications for respiratory health. It summarizes recent findings on the gut–airway axis, the influence of gut microbiota on airway immunity, and identifies various environmental and dietary factors that shape these microbiomes. The expertise of gut microbiota-derived metabolites, particularly short-chain fatty acids (SCFAs), and their role in modulating respiratory immunity are discussed, along with the potential for microbiome-based therapies and interventions for respiratory diseases.	Review paper	Microbial-derived metabolites (specifically short-chain fatty acids), gut and airway microbiome diversity and composition, maternal prenatal nutrition, and dietary influences on gut health.
Population-level Metagenomics Uncovers Distinct Effects of Multiple Medications on the Human Gut Microbiome	Naoyoshi Nagata, Suguru Nishijima, Tohru Miyoshi-Akiyama, Yasushi Kojima, Moto Kimura, Ryo Aoki, Mitsuru Ohsugi, Kohjiro Ueki, Kuniko Miki, Eri Iwata, Kayoko Hayakawa, Norio Ohmagari, Shinichi Oka, Masashi Mizokami, Takao Itoi, Takashi Kawai, Naomi Uemura, Masahira Hattori	2022	This study investigates the extensive effects of medications on the human gut microbiome through a large-scale metagenomic analysis of fecal samples from 4,198 individuals in Japan. It highlights that both antibiotic and non-antibiotic drugs influence the microbiome structure and function, with over 70% of the drugs examined not previously studied in this context. The research identifies significant correlations between drug use, gut microbiome alterations, and microbial resistance, noting particularly how polypharmacy exacerbates these effects. The findings suggest a comprehensive need to rethink drug prescriptions to preserve microbiome health.		
